feedback,sentimento
"Produto excelente, estou muito satisfeito!",1
"Serviço de entrega rápido e eficiente.",1
"Gostei muito do atendimento, funcionários muito educados.",1
"Recomendo a todos, produto de qualidade.",1
"Muito bom o serviço prestado, superou minhas expectativas.",1
"Ótimo atendimento ao cliente.",1
"Adorei o produto, muito bom mesmo.",1
"Excelente custo-benefício, vale a pena.",1
"Estou feliz com a compra, tudo certo.",1
"Produto bem embalado, chegou perfeito.",1
"Gostei",1
"Gostei muito",1
"Gostei",1
"Gostei muito",1
"Gostei",1
"Gostei",1
"Gostei muito",1
"Amei",1
"Adorei",1
"Bom",1
"Ótimo",1
"Excelente",1
"Legal",1
"Maravilhoso",1
"Perfeito",1
"Não gostei do atendimento, falta de educação.",0
"Serviço muito demorado, não recomendo.",0
"Produto veio com defeito, estou insatisfeito.",0
"Decepcionado com o atendimento ao cliente.",0
"Péssima experiência, não voltarei a comprar.",0
"Não gostei do produto, não é o que esperava.",0
"Atendimento péssimo, funcionários despreparados.",0
"Comprei e não recebi o produto até agora.",0
"Serviço de entrega atrasado e sem comunicação.",0
"Produto veio errado, não era o que eu pedi.",0
"Não recomendo, produto de má qualidade.",0
"Produto não funcionou como esperado, decepcionante.",0
"Serviço caro e não vale a pena.",0
"Atendimento ruim, não resolveram meu problema.",0
"Devolvi o produto e não recebi meu dinheiro de volta.",0
"Produto quebrou na primeira semana de uso.",0
"Demoraram muito para responder minhas perguntas.",0
"Não fiquei satisfeito com o serviço prestado.",0
"Produto não chegou no prazo prometido.",0
"Atendimento ao cliente horrível, ignoraram minhas reclamações.",0
"Serviço mal organizado e confuso.",0
"Produto caro e não tem qualidade.",0
"Não gostei do produto, não vale o preço.",0
"Serviço péssimo, não solucionaram meu problema.",0
"Demoraram para me atender, péssimo serviço.",0
"Não recomendo, experiência negativa.",0
"Atendimento demorado e ineficiente.",0
"Produto não cumpre o que promete.",0
"Serviço de entrega confuso, não sabia onde estava meu pedido.",0
"Produto quebrou logo após a compra.",0
"Não gostei do atendimento, pouco profissionalismo.",0
"Serviço muito caro para o que oferece.",0
"Atendimento ao cliente péssimo, não resolveram meu problema.",0
"Produto veio com defeito de fábrica.",0
"Não gostei do atendimento, muito demorado.",0
"Atendimento ao cliente não resolveu meu problema.",0
"Produto veio errado e não consigo trocar.",0
"Não recomendo, não tive uma boa experiência.",0
"Serviço muito lento e sem organização.",0
"Produto não chegou e não consigo rastrear.",0
"Ruim",0
"Não gostei", 0
"Péssimo",0
"Horrível",0
"Detestei",0
"Insatisfatório",0
"Gostei demais",1
"Adorei o atendimento, muito prestativos.",1
"Muito bom, recomendo!",1
"Ótima experiência de compra, produto chegou rápido.",1
"Excelente atendimento ao cliente.",1
"Produto de alta qualidade, estou muito satisfeito.",1
"Nada a reclamar, serviço excelente.",1
"Comprarei novamente, produto incrível.",1
"Perfeito em tudo, recomendo demais.",1
"Não gostei do produto, não era o que esperava.",0
"Atendimento péssimo, funcionários mal educados.",0
"Serviço demorado, não recomendo.",0
"Produto veio quebrado, péssima qualidade.",0
"Decepcionado com a compra, não voltarei a comprar.",0
"Não gostei do atendimento, muito desorganizado.",0
"Serviço caro e não vale o preço.",0
"Produto não funcionou como esperado, decepcionante.",0
"Atendimento ruim, não resolveram meu problema.",0
"Produto veio com defeito de fabricação.",0
"Não recomendo, experiência negativa.",0
"Serviço péssimo, não solucionaram meu problema.",0
"Atendimento demorado e ineficiente.",0
"Produto não cumpre o que promete.",0
"Serviço de entrega confuso, não sabia onde estava meu pedido.",0
"Produto quebrou logo após a compra.",0
"Não gostei do atendimento, pouco profissionalismo.",0
"Serviço muito caro para o que oferece.",0
"Atendimento ao cliente péssimo, não resolveram meu problema.",0
"Produto veio errado e não consigo trocar.",0
"Não recomendo, não tive uma boa experiência.",0
"Serviço muito lento e sem organização.",0
"Produto não chegou e não consigo rastrear.",0
